group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci 20,,,,,12825802.0,ns,1
fibonacci 20,,,,,26092681.0,ns,2
fibonacci 20,,,,,38040281.0,ns,3
fibonacci 20,,,,,51092614.0,ns,4
fibonacci 20,,,,,65040795.0,ns,5
fibonacci 20,,,,,78968985.0,ns,6
fibonacci 20,,,,,86647749.0,ns,7
fibonacci 20,,,,,98867658.0,ns,8
fibonacci 20,,,,,113702541.0,ns,9
fibonacci 20,,,,,126082884.0,ns,10
fibonacci 20,,,,,144367389.0,ns,11
fibonacci 20,,,,,151383320.0,ns,12
fibonacci 20,,,,,181080169.0,ns,13
fibonacci 20,,,,,186804560.0,ns,14
fibonacci 20,,,,,197316411.0,ns,15
fibonacci 20,,,,,210451273.0,ns,16
fibonacci 20,,,,,219786564.0,ns,17
fibonacci 20,,,,,237788758.0,ns,18
fibonacci 20,,,,,262276304.0,ns,19
fibonacci 20,,,,,299629441.0,ns,20
fibonacci 20,,,,,282333844.0,ns,21
fibonacci 20,,,,,290303350.0,ns,22
fibonacci 20,,,,,291509026.0,ns,23
fibonacci 20,,,,,300200164.0,ns,24
fibonacci 20,,,,,317968696.0,ns,25
fibonacci 20,,,,,340895595.0,ns,26
fibonacci 20,,,,,352267148.0,ns,27
fibonacci 20,,,,,367442207.0,ns,28
fibonacci 20,,,,,378739292.0,ns,29
fibonacci 20,,,,,399095793.0,ns,30
fibonacci 20,,,,,410599139.0,ns,31
fibonacci 20,,,,,413626711.0,ns,32
fibonacci 20,,,,,428414681.0,ns,33
fibonacci 20,,,,,436329375.0,ns,34
fibonacci 20,,,,,500785581.0,ns,35
fibonacci 20,,,,,481026259.0,ns,36
fibonacci 20,,,,,476974432.0,ns,37
fibonacci 20,,,,,488388731.0,ns,38
fibonacci 20,,,,,507797071.0,ns,39
fibonacci 20,,,,,528677946.0,ns,40
fibonacci 20,,,,,543864443.0,ns,41
fibonacci 20,,,,,553551671.0,ns,42
fibonacci 20,,,,,548603761.0,ns,43
fibonacci 20,,,,,575186543.0,ns,44
fibonacci 20,,,,,608047145.0,ns,45
fibonacci 20,,,,,614926979.0,ns,46
fibonacci 20,,,,,607012934.0,ns,47
fibonacci 20,,,,,629034834.0,ns,48
fibonacci 20,,,,,642038879.0,ns,49
fibonacci 20,,,,,664099957.0,ns,50
fibonacci 20,,,,,669324971.0,ns,51
fibonacci 20,,,,,739574545.0,ns,52
fibonacci 20,,,,,1890362169.0,ns,53
fibonacci 20,,,,,721050407.0,ns,54
fibonacci 20,,,,,703257625.0,ns,55
fibonacci 20,,,,,725415852.0,ns,56
fibonacci 20,,,,,747433594.0,ns,57
fibonacci 20,,,,,750316413.0,ns,58
fibonacci 20,,,,,767689709.0,ns,59
fibonacci 20,,,,,776847563.0,ns,60
fibonacci 20,,,,,817593064.0,ns,61
fibonacci 20,,,,,793820257.0,ns,62
fibonacci 20,,,,,808682812.0,ns,63
fibonacci 20,,,,,852579666.0,ns,64
fibonacci 20,,,,,848310349.0,ns,65
fibonacci 20,,,,,848624393.0,ns,66
fibonacci 20,,,,,881361354.0,ns,67
fibonacci 20,,,,,952882037.0,ns,68
fibonacci 20,,,,,902826202.0,ns,69
fibonacci 20,,,,,912914035.0,ns,70
fibonacci 20,,,,,919223686.0,ns,71
fibonacci 20,,,,,930929416.0,ns,72
fibonacci 20,,,,,960781386.0,ns,73
fibonacci 20,,,,,970718164.0,ns,74
fibonacci 20,,,,,962753522.0,ns,75
fibonacci 20,,,,,969082251.0,ns,76
fibonacci 20,,,,,993445941.0,ns,77
fibonacci 20,,,,,988925653.0,ns,78
fibonacci 20,,,,,1036252139.0,ns,79
fibonacci 20,,,,,1056068623.0,ns,80
fibonacci 20,,,,,1077419730.0,ns,81
fibonacci 20,,,,,1088790653.0,ns,82
fibonacci 20,,,,,1094553516.0,ns,83
fibonacci 20,,,,,1114991300.0,ns,84
fibonacci 20,,,,,1152171790.0,ns,85
fibonacci 20,,,,,1097755671.0,ns,86
fibonacci 20,,,,,1148860290.0,ns,87
fibonacci 20,,,,,1168359369.0,ns,88
fibonacci 20,,,,,1194656085.0,ns,89
fibonacci 20,,,,,1210626924.0,ns,90
fibonacci 20,,,,,1192799863.0,ns,91
fibonacci 20,,,,,1190774734.0,ns,92
fibonacci 20,,,,,1216196255.0,ns,93
fibonacci 20,,,,,1298075413.0,ns,94
fibonacci 20,,,,,1225825476.0,ns,95
fibonacci 20,,,,,1255771390.0,ns,96
fibonacci 20,,,,,1254102407.0,ns,97
fibonacci 20,,,,,1307597691.0,ns,98
fibonacci 20,,,,,1282436743.0,ns,99
fibonacci 20,,,,,1325548321.0,ns,100
