group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci 20,,,,,2920628.0,ns,1
fibonacci 20,,,,,6152443.0,ns,2
fibonacci 20,,,,,8652623.0,ns,3
fibonacci 20,,,,,12206922.0,ns,4
fibonacci 20,,,,,15465629.0,ns,5
fibonacci 20,,,,,17398592.0,ns,6
fibonacci 20,,,,,22398011.0,ns,7
fibonacci 20,,,,,22786429.0,ns,8
fibonacci 20,,,,,26533101.0,ns,9
fibonacci 20,,,,,31147718.0,ns,10
fibonacci 20,,,,,32181086.0,ns,11
fibonacci 20,,,,,33361027.0,ns,12
fibonacci 20,,,,,37308537.0,ns,13
fibonacci 20,,,,,41380112.0,ns,14
fibonacci 20,,,,,45199674.0,ns,15
fibonacci 20,,,,,48588897.0,ns,16
fibonacci 20,,,,,52437104.0,ns,17
fibonacci 20,,,,,54044002.0,ns,18
fibonacci 20,,,,,57097057.0,ns,19
fibonacci 20,,,,,60661993.0,ns,20
fibonacci 20,,,,,63259194.0,ns,21
fibonacci 20,,,,,66386383.0,ns,22
fibonacci 20,,,,,70261856.0,ns,23
fibonacci 20,,,,,71788594.0,ns,24
fibonacci 20,,,,,70198893.0,ns,25
fibonacci 20,,,,,78051292.0,ns,26
fibonacci 20,,,,,80856845.0,ns,27
fibonacci 20,,,,,85822114.0,ns,28
fibonacci 20,,,,,86078532.0,ns,29
fibonacci 20,,,,,90368634.0,ns,30
fibonacci 20,,,,,91821506.0,ns,31
fibonacci 20,,,,,95109432.0,ns,32
fibonacci 20,,,,,96273470.0,ns,33
fibonacci 20,,,,,102236994.0,ns,34
fibonacci 20,,,,,104755268.0,ns,35
fibonacci 20,,,,,108391844.0,ns,36
fibonacci 20,,,,,110108077.0,ns,37
fibonacci 20,,,,,112928221.0,ns,38
fibonacci 20,,,,,116855649.0,ns,39
fibonacci 20,,,,,120300651.0,ns,40
fibonacci 20,,,,,124987260.0,ns,41
fibonacci 20,,,,,117315333.0,ns,42
fibonacci 20,,,,,131763842.0,ns,43
fibonacci 20,,,,,137342564.0,ns,44
fibonacci 20,,,,,137155509.0,ns,45
fibonacci 20,,,,,184850755.0,ns,46
fibonacci 20,,,,,146622486.0,ns,47
fibonacci 20,,,,,139303061.0,ns,48
fibonacci 20,,,,,141460534.0,ns,49
fibonacci 20,,,,,146033387.0,ns,50
fibonacci 20,,,,,149286262.0,ns,51
fibonacci 20,,,,,152195623.0,ns,52
fibonacci 20,,,,,149312015.0,ns,53
fibonacci 20,,,,,155949576.0,ns,54
fibonacci 20,,,,,158912067.0,ns,55
fibonacci 20,,,,,174297742.0,ns,56
fibonacci 20,,,,,163593705.0,ns,57
fibonacci 20,,,,,167340115.0,ns,58
fibonacci 20,,,,,170243439.0,ns,59
fibonacci 20,,,,,171009819.0,ns,60
fibonacci 20,,,,,181788055.0,ns,61
fibonacci 20,,,,,188557194.0,ns,62
fibonacci 20,,,,,189100174.0,ns,63
fibonacci 20,,,,,192931739.0,ns,64
fibonacci 20,,,,,197213474.0,ns,65
fibonacci 20,,,,,197048752.0,ns,66
fibonacci 20,,,,,198168947.0,ns,67
fibonacci 20,,,,,204184665.0,ns,68
fibonacci 20,,,,,207111345.0,ns,69
fibonacci 20,,,,,209860343.0,ns,70
fibonacci 20,,,,,210071160.0,ns,71
fibonacci 20,,,,,204608970.0,ns,72
fibonacci 20,,,,,214841479.0,ns,73
fibonacci 20,,,,,216976182.0,ns,74
fibonacci 20,,,,,248277072.0,ns,75
fibonacci 20,,,,,236391552.0,ns,76
fibonacci 20,,,,,239149752.0,ns,77
fibonacci 20,,,,,223909985.0,ns,78
fibonacci 20,,,,,227734510.0,ns,79
fibonacci 20,,,,,236007019.0,ns,80
fibonacci 20,,,,,237604118.0,ns,81
fibonacci 20,,,,,244713206.0,ns,82
fibonacci 20,,,,,252411432.0,ns,83
fibonacci 20,,,,,252958989.0,ns,84
fibonacci 20,,,,,256184960.0,ns,85
fibonacci 20,,,,,260107790.0,ns,86
fibonacci 20,,,,,263582900.0,ns,87
fibonacci 20,,,,,262975989.0,ns,88
fibonacci 20,,,,,266998007.0,ns,89
fibonacci 20,,,,,259593794.0,ns,90
fibonacci 20,,,,,264149925.0,ns,91
fibonacci 20,,,,,269515688.0,ns,92
fibonacci 20,,,,,270924660.0,ns,93
fibonacci 20,,,,,274429070.0,ns,94
fibonacci 20,,,,,272658974.0,ns,95
fibonacci 20,,,,,281039875.0,ns,96
fibonacci 20,,,,,288548038.0,ns,97
fibonacci 20,,,,,321844222.0,ns,98
fibonacci 20,,,,,296914495.0,ns,99
fibonacci 20,,,,,293230856.0,ns,100
